sample_index,score,is_prototype,true_dominant_type,pred_dominant_type,true_Luminal_Macrophages,pred_Luminal_Macrophages,true_Type 2 alveolar,pred_Type 2 alveolar,true_Fibroblasts,pred_Fibroblasts,true_Dendritic cells,pred_Dendritic cells
2717,0.9994785,True,Luminal_Macrophages,Luminal_Macrophages,0.32258064,0.32283172,0.16129032,0.16206184,0.29032257,0.28927964,0.22580644,0.22582686
4547,0.9994365,True,Type 2 alveolar,Type 2 alveolar,0.16666667,0.1673272,0.4,0.39906362,0.36666667,0.36647606,0.06666667,0.06713306
1940,0.99929214,True,Dendritic cells,Dendritic cells,0.29032257,0.28901392,0.09677419,0.09683045,0.032258064,0.03215108,0.58064514,0.5820046
4602,0.99919504,True,Luminal_Macrophages,Luminal_Macrophages,0.33333334,0.3349432,0.26666668,0.2666168,0.3,0.2991452,0.1,0.099294804
1480,0.99916816,True,Dendritic cells,Dendritic cells,0.06666667,0.06732068,0.33333334,0.33359602,0.23333333,0.23408027,0.36666667,0.365003
3382,0.9991598,True,Luminal_Macrophages,Luminal_Macrophages,0.3448276,0.34650797,0.31034482,0.31010762,0.31034482,0.31017846,0.03448276,0.03320591
215,0.99912477,True,Luminal_Macrophages,Luminal_Macrophages,0.3,0.30086556,0.1,0.10088489,0.3,0.2990923,0.3,0.2991573
2502,0.9991233,True,Dendritic cells,Dendritic cells,0.38709676,0.3885746,0.12903225,0.12869063,0.032258064,0.03084631,0.4516129,0.45188847
1189,0.9991009,True,Luminal_Macrophages,Luminal_Macrophages,0.44827586,0.44814244,0.06896552,0.067300804,0.10344828,0.103641726,0.37931034,0.3809151
3789,0.99908644,True,Dendritic cells,Dendritic cells,0.23333333,0.23326118,0.23333333,0.23482561,0.23333333,0.23157838,0.3,0.3003348
690,0.99908113,True,Luminal_Macrophages,Luminal_Macrophages,0.36666667,0.36679137,0.26666668,0.26482892,0.033333335,0.033441648,0.33333334,0.3349381
1557,0.9990466,True,Type 2 alveolar,Dendritic cells,0.1,0.10126097,0.3,0.30005342,0.3,0.29809323,0.3,0.3005924
1281,0.99904495,True,Luminal_Macrophages,Luminal_Macrophages,0.32258064,0.32256392,0.32258064,0.32145503,0.19354838,0.19278064,0.16129032,0.16320041
4338,0.9990064,True,Luminal_Macrophages,Luminal_Macrophages,0.31034482,0.30962187,0.27586207,0.27539596,0.13793103,0.13713287,0.27586207,0.27784935
3289,0.9989538,True,Luminal_Macrophages,Luminal_Macrophages,0.36666667,0.36457428,0.33333334,0.33380994,0.16666667,0.1669494,0.13333334,0.13466638
1058,0.9989431,True,Type 2 alveolar,Type 2 alveolar,0.06451613,0.06304574,0.32258064,0.3237378,0.29032257,0.2912792,0.32258064,0.3219372
945,0.99894255,True,Luminal_Macrophages,Luminal_Macrophages,0.36666667,0.3669585,0.16666667,0.16763514,0.36666667,0.36455172,0.1,0.10085458
2691,0.99886066,True,Luminal_Macrophages,Luminal_Macrophages,0.4516129,0.45208818,0.09677419,0.09672566,0.06451613,0.062285997,0.38709676,0.38890016
4644,0.9988368,True,Dendritic cells,Dendritic cells,0.10344828,0.10558461,0.2413793,0.24069484,0.31034482,0.31053486,0.3448276,0.34318572
1770,0.99882853,True,Luminal_Macrophages,Luminal_Macrophages,0.4,0.39981797,0.1,0.09852182,0.33333334,0.3326506,0.16666667,0.16900955
62,0.9988012,True,Luminal_Macrophages,Luminal_Macrophages,0.36666667,0.36653003,0.26666668,0.2644056,0.2,0.20093796,0.16666667,0.16812642
1865,0.99875116,True,Luminal_Macrophages,Luminal_Macrophages,0.53333336,0.53359395,0.33333334,0.33557042,0.033333335,0.03123406,0.1,0.0996016
878,0.9987147,True,Type 2 alveolar,Dendritic cells,0.06896552,0.069957644,0.37931034,0.3787715,0.1724138,0.17038204,0.37931034,0.38088882
656,0.99869996,True,Dendritic cells,Dendritic cells,0.2,0.20083468,0.23333333,0.23232266,0.26666668,0.26507726,0.3,0.30176547
4556,0.9986197,True,Type 2 alveolar,Type 2 alveolar,0.29032257,0.28876933,0.32258064,0.32164112,0.16129032,0.16102242,0.22580644,0.22856711
236,0.99860257,True,Dendritic cells,Dendritic cells,0.06666667,0.066146314,0.3,0.3014054,0.3,0.30138946,0.33333334,0.33105883
432,0.9986013,True,Luminal_Macrophages,Luminal_Macrophages,0.3448276,0.34207943,0.13793103,0.13840339,0.31034482,0.31029558,0.20689656,0.20922159
3477,0.9985375,True,Fibroblasts,Fibroblasts,0.16129032,0.16253832,0.032258064,0.033105236,0.4516129,0.44868785,0.3548387,0.35566857
1410,0.99852747,True,Dendritic cells,Dendritic cells,0.12903225,0.12963414,0.19354838,0.19254108,0.32258064,0.3249238,0.3548387,0.3529009
4510,0.9984935,True,Type 2 alveolar,Type 2 alveolar,0.23333333,0.23535693,0.33333334,0.33432272,0.3,0.29888073,0.13333334,0.1314396
661,0.99848306,True,Type 2 alveolar,Type 2 alveolar,0.2,0.19997066,0.3,0.3030339,0.26666668,0.2664959,0.23333333,0.23049948
417,0.99848235,True,Fibroblasts,Dendritic cells,0.16666667,0.16739015,0.23333333,0.2356452,0.3,0.29831067,0.3,0.298654
1016,0.9984578,True,Luminal_Macrophages,Luminal_Macrophages,0.33333334,0.33599472,0.33333334,0.33366543,0.2,0.20009094,0.13333334,0.1302489
1964,0.99844086,True,Dendritic cells,Dendritic cells,0.10344828,0.10069739,0.1724138,0.17366628,0.3448276,0.34669346,0.37931034,0.37894294
3560,0.9984217,True,Type 2 alveolar,Type 2 alveolar,0.23333333,0.23617591,0.26666668,0.26698068,0.23333333,0.23124613,0.26666668,0.26559734
3776,0.99841845,True,Luminal_Macrophages,Luminal_Macrophages,0.53333336,0.5302912,0.13333334,0.13321239,0.033333335,0.035591744,0.3,0.3009047
2439,0.9984146,True,Fibroblasts,Fibroblasts,0.06666667,0.0698075,0.06666667,0.06669663,0.6666667,0.6660783,0.2,0.19741751
1985,0.99838865,True,Dendritic cells,Dendritic cells,0.22580644,0.22768104,0.22580644,0.22505099,0.2580645,0.25941262,0.29032257,0.2878554
4073,0.9983881,True,Type 2 alveolar,Type 2 alveolar,0.41379312,0.41056934,0.44827586,0.45082253,0.10344828,0.10403827,0.03448276,0.03456985
2273,0.9983783,True,Luminal_Macrophages,Luminal_Macrophages,0.41379312,0.41627285,0.20689656,0.20555954,0.1724138,0.17050734,0.20689656,0.20766026
3080,0.9983353,True,Luminal_Macrophages,Luminal_Macrophages,0.56666666,0.565787,0.36666667,0.36962458,0.033333335,0.030883534,0.033333335,0.033704843
